Date, Open, High, Low, Close
02/17/23, 33677.01, 33846.64, 33517.73, 33826.69
02/16/23, 33992.09, 34041.16, 33686.59, 33696.85
02/15/23, 34008.63, 34130.49, 33833.10, 34128.05
02/14/23, 34194.09, 34331.47, 33827.45, 34089.27
02/13/23, 33887.39, 34249.60, 33887.39, 34245.93
02/10/23, 33671.54, 33897.31, 33591.99, 33869.27
02/09/23, 34105.61, 34252.57, 33607.13, 33699.88
02/08/23, 34132.90, 34161.65, 33899.79, 33949.01
02/07/23, 33769.78, 34240.00, 33634.10, 34156.69
02/06/23, 33874.44, 33962.84, 33683.58, 33891.02
02/03/23, 33926.30, 34179.58, 33813.86, 33926.01
02/02/23, 34129.30, 34145.14, 33814.78, 34053.94
02/01/23, 34039.60, 34334.70, 33581.42, 34092.96
01/31/23, 33803.56, 34095.23, 33664.91, 34086.04
01/30/23, 33909.21, 34055.29, 33695.18, 33717.09
01/27/23, 33952.93, 34164.33, 33830.85, 33978.08
01/26/23, 33771.66, 33953.79, 33635.60, 33949.41
01/25/23, 33538.36, 33773.09, 33273.21, 33743.84
01/24/23, 33444.72, 33782.92, 33310.56, 33733.96
01/23/23, 33439.56, 33782.88, 33316.25, 33629.56
01/20/23, 33073.46, 33381.95, 32948.93, 33375.49
01/19/23, 33171.35, 33227.49, 32982.05, 33044.56
01/18/23, 33948.49, 34016.53, 33269.90, 33296.96
01/17/23, 34222.32, 34269.97, 33860.67, 33910.85
01/13/23, 34075.31, 34342.32, 33915.49, 34302.61
01/12/23, 34047.86, 34292.67, 33792.10, 34189.97
01/11/23, 33754.03, 33974.69, 33711.04, 33973.01
01/10/23, 33516.43, 33726.54, 33421.80, 33704.10
01/09/23, 33664.39, 33935.11, 33487.66, 33517.65
01/06/23, 33055.30, 33710.66, 32997.39, 33630.61
01/05/23, 33191.72, 33191.72, 32812.33, 32930.08
01/04/23, 33165.14, 33409.10, 33033.48, 33269.77
01/03/23, 33148.90, 33387.52, 32850.57, 33136.37
12/30/22, 33121.61, 33152.55, 32847.82, 33147.25
12/29/22, 33021.43, 33293.42, 33020.35, 33220.80
12/28/22, 33264.76, 33379.55, 32869.15, 32875.71
12/27/22, 33224.23, 33387.72, 33069.58, 33241.56
12/23/22, 32961.06, 33226.14, 32814.02, 33203.93
12/22/22, 33233.35, 33233.35, 32573.43, 33027.49
12/21/22, 33028.09, 33437.84, 33028.09, 33376.48
12/20/22, 32735.24, 32992.23, 32649.45, 32849.74
12/19/22, 32921.45, 33038.94, 32581.97, 32757.54
12/16/22, 33166.46, 33166.46, 32654.59, 32920.46
12/15/22, 33773.00, 33773.00, 33016.16, 33202.22
12/14/22, 34086.07, 34395.65, 33704.17, 33966.35
12/13/22, 34268.44, 34712.28, 33890.88, 34108.64
12/12/22, 33519.50, 34005.04, 33519.50, 34005.04
12/09/22, 33746.71, 33844.63, 33462.65, 33476.46
12/08/22, 33695.97, 33899.17, 33642.46, 33781.48
12/07/22, 33556.40, 33774.27, 33503.67, 33597.92
12/06/22, 33936.87, 34006.63, 33418.59, 33596.34
12/05/22, 34335.73, 34335.73, 33846.81, 33947.10
12/02/22, 34265.45, 34483.21, 34039.73, 34429.88
12/01/22, 34533.59, 34595.51, 34129.35, 34395.01
11/30/22, 33795.43, 34589.77, 33583.77, 34589.77
11/29/22, 33847.80, 33933.91, 33662.45, 33852.53
11/28/22, 34275.91, 34303.88, 33799.35, 33849.46
11/25/22, 34213.04, 34386.51, 34199.57, 34347.03
11/23/22, 34091.57, 34262.07, 34004.64, 34194.06
11/22/22, 33810.05, 34115.70, 33810.05, 34098.10
11/21/22, 33760.30, 33864.59, 33559.18, 33700.28
